"time","value"
"2021-10-23T09:00:00Z",1299.69230769231
"2021-10-23T10:00:00Z",1170.51
"2021-10-23T11:00:00Z",1165.56
"2021-10-23T12:00:00Z",1159.95
"2021-10-23T13:00:00Z",1144.77
"2021-10-23T14:00:00Z",1222.32
"2021-10-23T15:00:00Z",1297.23
"2021-10-23T16:00:00Z",1318.68
"2021-10-23T17:00:00Z",1316.04
"2021-10-23T18:00:00Z",1267.86
"2021-10-23T19:00:00Z",1266.21
"2021-10-23T20:00:00Z",1239.81
"2021-10-23T21:00:00Z",1222.65
"2021-10-23T22:00:00Z",1210.44
"2021-10-23T23:00:00Z",1214.73
"2021-10-24T00:00:00Z",1209.78
"2021-10-24T01:00:00Z",1214.4
"2021-10-24T02:00:00Z",1229.58
"2021-10-24T03:00:00Z",1230.57
"2021-10-24T04:00:00Z",1232.22
"2021-10-24T05:00:00Z",1191.3
"2021-10-24T06:00:00Z",1159.29
"2021-10-24T07:00:00Z",1112.43
"2021-10-24T08:00:00Z",933.9
"2021-10-24T09:00:00Z",845.46
"2021-10-24T10:00:00Z",819.06
"2021-10-24T11:00:00Z",942.48
"2021-10-24T12:00:00Z",993.63
"2021-10-24T13:00:00Z",1043.13
"2021-10-24T14:00:00Z",1144.11
"2021-10-24T15:00:00Z",1240.8
"2021-10-24T16:00:00Z",1247.4
"2021-10-24T17:00:00Z",1244.76
"2021-10-24T18:00:00Z",1240.14
"2021-10-24T19:00:00Z",1234.53
"2021-10-24T20:00:00Z",1230.9
"2021-10-24T21:00:00Z",1220.34
"2021-10-24T22:00:00Z",1213.08
"2021-10-24T23:00:00Z",1212.09
"2021-10-25T00:00:00Z",1213.74
"2021-10-25T01:00:00Z",1226.94
"2021-10-25T02:00:00Z",1363.89
"2021-10-25T03:00:00Z",1738.11
"2021-10-25T04:00:00Z",1855.26
"2021-10-25T05:00:00Z",2264.79
"2021-10-25T06:00:00Z",2437.38
"2021-10-25T07:00:00Z",2470.71
"2021-10-25T08:00:00Z",2321.22
"2021-10-25T09:00:00Z",2277.99
"2021-10-25T10:00:00Z",2217.93
"2021-10-25T11:00:00Z",2167.77
"2021-10-25T12:00:00Z",2177.01
"2021-10-25T13:00:00Z",2202.09
"2021-10-25T14:00:00Z",2220.57
"2021-10-25T15:00:00Z",2116.95
"2021-10-25T16:00:00Z",1721.61
"2021-10-25T17:00:00Z",1488.96
"2021-10-25T18:00:00Z",1363.23
"2021-10-25T19:00:00Z",1232.55
"2021-10-25T20:00:00Z",1230.9
"2021-10-26T21:00:00Z",1232.55
"2021-10-26T22:00:00Z",1204.5
"2021-10-26T23:00:00Z",1229.25
"2021-10-27T00:00:00Z",1231.56
"2021-10-27T01:00:00Z",1255.32
"2021-10-27T02:00:00Z",1294.26
"2021-10-27T03:00:00Z",1578.39
"2021-10-27T04:00:00Z",1930.83
"2021-10-27T05:00:00Z",2265.12
"2021-10-27T06:00:00Z",2341.68
"2021-10-27T07:00:00Z",2344.98
"2021-10-27T08:00:00Z",2270.73
"2021-10-27T09:00:00Z",2221.23
"2021-10-27T10:00:00Z",2141.7
"2021-10-27T11:00:00Z",2119.26
"2021-10-27T12:00:00Z",2157.87
"2021-10-27T13:00:00Z",2143.02
"2021-10-27T14:00:00Z",2200.44
"2021-10-27T15:00:00Z",2101.11
"2021-10-27T16:00:00Z",1745.04
"2021-10-27T17:00:00Z",1514.37
"2021-10-27T18:00:00Z",1392.93
"2021-10-27T19:00:00Z",1250.04
"2021-10-27T20:00:00Z",1199.22
"2021-10-27T21:00:00Z",1179.09
"2021-10-27T22:00:00Z",1238.49
"2021-10-27T23:00:00Z",1213.08
"2021-10-28T00:00:00Z",1181.4
"2021-10-28T01:00:00Z",1184.04
"2021-10-28T02:00:00Z",1343.76
"2021-10-28T03:00:00Z",1544.73
